name,englishname,nickname,nation,race,zodiac_tyep,blood_type,height,weight,birthsite,birthday,occupation,school,company,main_works,main_achieve,judge
顾海琳,,,中国,,,,,,,,演员,,,,,
巴音（巴音额日乐）,,,中国,蒙古族,,,,,内蒙古鄂尔多斯乌审旗,1963年08月12日,电影导演演员,上海戏剧学院 北京电影学院,,"诺日吉玛
嘎达梅林
悲情布鲁克","第16届中国电影金鸡奖集体表演奖
第28届中国电影金鸡奖最佳男配角提名奖
第30届中国电影金鸡奖最佳导演提名奖",巴音崇拜英雄，渴望塑造各种英雄人物形象，喜欢向新的角色，新人物挑战，巴音认为自己是为电影而生，为了塑造角色，他不断地调整自己重塑自己，经过一翻拼搏和努力，他在影视界可谓硕果累累。 带着草原牧人的朴实，巴音从内蒙古来到了上海，开始自己的影视生涯。他在影片中大多扮演蒙古族强悍的形象。更为草原文化发扬传承着......
瑶淼,,,中国,锡伯族,摩羯座,O型,163cm,,北京,1978年12月27日,演员 主持人,北京广播学院(现中国传媒大学）,,"魔力
盐丁儿",,虽然是童星出身，从小就参演电影电视；长大后做主持，也左右逢源顺风顺水，但是瑶淼身上，却没有一丝一毫的浮躁。瑶淼不仅热爱自己的演艺事业，同时积极的参加社会公益活动来回报社会。
于文霞,YuWenxia,,中国,汉族,狮子座,,177cm,,黑龙江省尚志市亚布力镇,1989年08月06日,模特,哈尔滨师范大学音乐学院,,第62届世界小姐选美大赛全球总冠军,第62届世界小姐大赛中国区冠军,个人生活 不同于首位华人世界小姐冠军张梓琳的甜美、时尚、大方，作为第2位华人世界小姐冠军的于文霞，给人第一印象是秀美、纯朴、端庄（歌唱家曲冬梅评）。 大学入学时她便凭借出色的外貌条件和嗓音，成为学校里的明星人物。更难得的是，她的专业素养非常好，学习勤奋又刻苦，平时一节课也不落。无论春夏秋冬，下雨还是下雪，每天早晨她都第一个去琴房练功。无论交给她多难的曲目，她都会尽最大努力完成，且总是不停地在身上寻找和其她人差距。而于文霞平日里的穿着则非常简朴，这样一位老实节俭的姑娘，同学们也都很喜欢她（中国青年网评）。 1米77的个子，一头乌黑的长发，一张典型的东方女性面孔，在世界500强财富巨头与全球政要云集的2013年成都财富全球论坛上，于文霞是那么的年轻和与众不同。如果没去特意交谈，也许很少有人会知道，大家身边的这个美丽女孩就是2012年的世界小姐冠军。她没有高谈阔论，只是美美地坐着，或是优雅地站着，默默地倾听，然后坦诚而朴实地回答你的每一个问题，不时露出甜美的微笑，让人在不知不觉间被她吸引（华西都市报、新民地铁报　　）。
张越涵,Serena,,中国,汉族,水瓶座,O,,,北京,1990年01月01日,演员,中国戏曲学院,,"探秘者
生死黎平",,张越涵汉服图集 90后的张越涵毕业于中国戏曲学院，被网友追捧为中国戏曲学院清纯校花。虽是新人，但却是一身名媛范，琴棋书画文舞双全，长相清纯甜美还气质独特，有一种张艺谋偏好的谋女郎共通的东方美特色。（网易评） 张越涵拍摄的汉服写真，身着改良版汉服，融合汉服的庄重、优雅、动人，身上的古典气质让人眼前一亮。中国传统文化在她身上表现的淋漓尽致。（网易、中国青年网评）
连诗雅,ShigaLin,Shiga,日本,,巨蟹座,,172cm,,香港,1988年06月29日,歌手 演员 模特,英皇佐治五世学校,,《到此为止》《i'mstilllovingyou》,"入围31届香港金像奖最佳新演员
2010年SinaMusic我最喜爱女新人
第35/36/37届十大中文金曲颁奖礼“十大金曲奖”",连诗雅个子高高，眉宇间带点英气（东莞时报评），被誉为香港乐坛玉女新歌手。连诗雅2011年主演电影《喜爱夜蒲》备受瞩目，角色饰演得十分到位。（深圳晚报评）
李金斗,,,中国,汉,天秤座,O型,,,北京,1947年10月15日,相声演员,,,《武松打虎》《夹板气》,,
白延琴,,,中国,,,,,,陕西延安人,,凤凰卫视时事类节目主持人,,,,国家一级播音员,
章茜,,,中国,汉,,,,,上海,,文新投资公司总裁,,,,,
叶惠贤,,,中国,汉族,,,,,湖北武汉,,政协委员 艺术家 主持人,,,"《今夜星辰》
《今日影视》
《难忘的老朋友》","三次获金话筒奖
获中国电视主持人终身成就奖",
诺亚方舟,Noah'sArk,,,,,,,,,,,,,,,
亚妮,,,中国,汉,,,,,,,制片人,,,《亚妮专访》,"浙江省第八届
第九届政协委员
中共浙江省第十一次代表大会代表",
王非,,,中国,汉族,,,,,北京,1963年01月01日,,,,,,王非在打球时是个好运动员，他是中国男篮在西班牙世锦赛获得第九名、首次实现历史性突破的主力队员之一；王非退役后是个好教练，他带领八一火箭队创造了中国篮球史上的又一个壮举，连续六个赛季攻下CBA总冠军。 然而，当王非在世界篮球殿堂NBA经过半年学习进修之后，他对篮球的理解到实战的指挥，都发生了潜移默化的改变。他运用“轮转防守”等一些来自NBA的先进知识，使得八一队在最困难的时候，仍然能够最终夺取CBA总冠军。不过，王非也有些变化很难令人理解。比如在如何合理使用姚明和巴特尔，又比如在临场换人方面，都有不少值得商榷的地方。
董倩,,,中国,满族,摩羯座,,,,北京,1971年01月01日,主持人 播音员,北京大学,,,,
白燕升,,,中国,汉族,双子座,,,,河北省沧州市黄骅市,1968年05月23日,主持人,河北大学,,"九州戏苑
过把瘾
戏苑百家",2001年获得中国广播电视“金话筒奖”,出演《神探亨特张》 他多才多艺，京剧、河北梆子、越剧、黄梅戏、豫剧等剧种，都能演唱。（腾讯娱乐评）白燕升是一个超级戏迷，一位真正的内行，一位够资格的剧评家。（余秋雨评）他的性格里有英雄般的骨气，又有赤子般的真情。他不谄上，不阿贵，敢于坚持真理，嫉恶如仇，是一条痛快淋漓的汉子。（莫言评）
刘建宏,,,中国,汉族,,,,,河北石家庄,1968年09月01日,主持人,中国人民大学,,"《足球之夜》《你好
世界杯》",2003年金话筒奖,刘建宏 无论是刘建宏的赞美者还是诋毁者，不难看出刘建宏对中国足球充满感情。（新浪网评） 刘建宏这么多年来一直是非常细致的准备，而且积累欧洲和世界足球相关的资料。建宏在前方解说虽然稍显得比较平淡一些，但是会发现建宏在以往那种平淡的印象当中，实际上已经开始有了很多激情。（韩乔生评） 刘建宏的足球解说有着鲜明的个人特点。虽然作为一个足球评论员是不便表示自己的立场的，但作为国米球迷的刘建宏每次解说时，很多球迷都可以感受到他对于国米的热爱。他本人也是许多国米球迷最爱的解说员。（人民网评）
周晓丽,,,,,,,,,浙江义乌,1979年01月01日,智障儿童康复中心负责人,,,,,周晓丽，“富人之仁”的典范人物，从一个为胞弟求医四处奔走的女孩子到拥有数百名脑瘫孩子的“妈妈”。她没有继承父业，没有在义乌这个商贸城市里经商办厂。相反，她把家里厂房改造为育智活动场所，挑起了承载大义的公益事业。人生的选择有很多种，但是周晓丽选择了常人最不易选择和坚持的一条道路。正如“浙江骄傲”给周晓丽的颁奖词所赞：只因懂得，所以有取有舍；只因情重，所以无怨无悔。幼吾幼以及人之幼。轻言少语的她，正为我们讲述着几千年中华文明的古道热肠。（中国文明网评）
尚红,,商红,,,,,,,,,上海东方广播电台播音员,,,,,
毕铭鑫,,,中国,汉族,,,,,吉林省,1971年01月11日,主持人,吉林艺术学院,,《乡村大世界》,"中国文学艺术基金会特别贡献金奖
2005“手挽手”行动大型公益活动
2008年12月
荣获中国播音主持“金话筒奖”",毕铭鑫特写照 毕铭鑫特写照作为总导演，毕铭鑫对作品的要求，精益求精、一丝不苟。（人民网评）。 毕铭鑫幽默而随和、身材高大魁梧、脸上挂满了善意的笑容（人民网传媒评）。 毕铭鑫在节目中从不穿西装，一般穿中式服装，更多时候则是穿当地的特色服饰。因为满中国地在农村跑，毕铭鑫被誉为中国航空里程数最多的主持人（新浪娱乐评）。 毕铭鑫是中国最早的农业电视节目主持人之一，他踏进电视圈做的第一个节目就是关于农村的。不过，他之所以被广大农民观众看做“贴心人”，被大家称为“农民主持人”，更多是和他长期坚持并不断创新的充满魅力的主持风格分不开（河南日报评）。
孙正平,,,中国,汉族,双鱼座,,,,北京,1951年02月28日,播音员,山西大学体育系,,《声涯》,,
聂一菁,,,,汉,,,,,广西桂林,,,,,,,
徐滔,,,中国,,,,,,湖北,1968年01月01日,新闻工作者,北京广播学院电视系,,,"五次荣获了中国新闻奖
四次荣获了北京新闻奖一等奖
全国社会治安好新闻评比的一等奖
北京市优秀新闻工作者",
庞晓戈,XiaogePang,,中华人民共和国,汉族,天蝎座,A型,172cm,60kg,河南省偃师市,1974年11月12日,主持人,郑州大学,,梨园春,"全国十佳金话筒奖
第21届金鹰奖优秀主持人",庞晓戈 在任何的岗位上都能发挥自己的作用，并带动其他人一同向前。她对待节目用心，把自己全部的精力和热情投入到了《梨园春》的创作中去，真正做到了“有多大劲就使多大劲”。对待工作的热情和恒心，孜孜不倦的求知和脚踏实地的勤奋，让她拥有了忠实的观众（人民网评）。 作为一个名主持人，与自己主持的节目《梨园春》血脉相连，成为一家人。平时除了主持工作外，也要参与一些栏目的策划工作。她是一个只能用心做好一件事的人，所以也没有去主持其他节目（郑州晚报评价）。
丁瑾,,,中国,汉族,巨蟹座,,162cm,51kg,辽宁大连,,主持人,浙江广播电视高等专科学校,,《谈话节目主持人的亲和力》,2009中国播音主持金话筒奖,
陈志峰,,,,,,,,,,,主持人,,,《夕阳红》《老夫老妻》,2001年荣获第五届金话筒金奖。,
尹畅,KathyYin,,中国,,,,,,,1973年02月19日,主持人,,,,,
沙桐,,,中国,回族,白羊座,A型,,,河南郑州,1968年04月09日,中央电视台体育频道的主持人,中国传媒大学,,,"主持栏目：《赛车时代》
主持栏目：《北京2008》
主持栏目：《F1直播》",沙桐 从小，从来就没有想过要做一个新闻工作者，从来没有想过每天要与不同的人打交道。他的性格相对来说比较内向，特别烦说话，天天上班就是说话。尽管他烦说话，但跟朋友在一起，话也挺多的。实在累了，休息了，他可以几天不出家门，不会觉得特别寂寞特别无聊，在家里看看电视啊，看看书啊，翻翻杂志啊，过得很快。而工作中，却要每天抛头露面，与不同的人接触，与不同的人聊天，与不同的人沟通，和他的性格完全是一个特别大的反差。 给人的印象永远是挺快乐的，爱憎分明的。他说他不愿意用不好的情绪去影响别人，情绪不好的时候，如果可以调整的话，他会跟大家在一起，如果用这种方式依然化解不掉，就先一个人呆着，调整一下就好了。
韩咏秋,,,中国,汉族,,,,,河北蓟县,1973年01月01日,主持人 制片人 播音员,西南政法大学,,,十佳播音员主持人,
董超,TommyDong,,中国,汉族,,,,,,,主持人,浙江传媒学院,,,,
贺红梅,,,中国,汉族,,AB型,,,河北省秦皇岛市,1968年01月01日,播音员 主持人,中国传媒大学播音系,,,"担任香港回归72小时特别报道中的天安门分会场直播主持
澳门特别行政区成立庆典大会的现场直播主持
国庆50周年现场直播主持",采用“说”而不是“播”的方式，已经成为贺红梅独特的主持风格。 在《世界报道》这个每天都播放国际上重大事件、热点问题的节目中，贺红梅为了增加节目的知识性、趣味性和观赏性，总是尽其所能与编导们组织一些背景资料，尽量给观众展现事件的来龙去脉、前回后果以及发展动向。他们设计出多样式、多元化的报道形式，包括“电话现场采访”、“双视窗对接”、“演播室访谈”等。她说：“一个合格的国际新闻主持人，绝不仅仅只会照着别人写好的现成的稿子念，而应该是一个多面手，甚至应该是一个国际问题专家。”而经过她富有感情的处理的一些重要新闻，也变得庄重而不沉重，坚定而不生硬。 贺红梅的语言风格朴实而流畅，像随意的聊天，像轻松的漫谈，还像是在讲述一件件珍闻轶事 就在这广博的谈论之中，天下大事、世道纵横、人间万象，都给你娓娓道来。她的沉稳、冷静的风格和张弛适度、敏捷从容的反应能力，标志着一个主持人的成熟。
张斌,,,中国,汉,,,,,,,主持人,中国人民大学,,"《王义夫痛失奥运金牌》
《奥林匹克：我们共同的节日》",,
王乙艳,,,中国,,,,,,,,《海南新闻》主播,,,,,
王向真,,,中国,,,,,,,1975年07月03日,主持人,北京广播学院,,"主持过《影视圈》
《北京您早》
《每日文化播报》
《老同学大联欢》","荣获了国内最高奖项
政府奖：中国播音与主持作品一等奖",
王建萍,,,中国,汉,,,,,,,北京科技大学教授 博士生导师,天津大学,,,,
敖特根苏都,,,中国,蒙古族,,,,,呼伦贝尔,1985年01月01日,主持人,内蒙古大学,,"《索艺乐》
《早间新闻》等蒙古语卫视及文化频道的精品栏目",,
季小军,,,中国,汉族,处女座,O型,,,浙江省义乌市,1972年09月01日,主持人,英国诺丁汉大学,,"何必刻意
中华情
文化快报
名人坊",,季小军 不仅有着亲切的主持风格，而且还能够说一口流利的英语，这也让许多人误以为他是出生在英国的华人“BBC（BritishBornChinese）”（央视网评）。 的声音清脆、充满磁性，他在2007年世界夏季特殊奥林匹克运动会开幕式上，不仅中文发音咬字清晰，而且其英国式发音还很纯正（《新闻晚报》评）。在北京奥运会开幕式及闭幕式上，凭借浑厚有力、发音标准的英语同步解说令全世界观众留下了极其深刻的印象（中国新闻网评）。
王世林,,,中国,,,,,,河北,1966年11月11日,电视台主持人,,,,,王世林属马，但驾驭立意颇高的《中国报道》并不是一件容易的事情，怎样才能做到“为马首是瞻”？他说：“我只是在学习”。从一九九一年三月一日主持第一期节目开始，八年过去了，《中国报道》已由每周一期增加为每天一期，同时完成了从新闻纪实性节目到深度访谈性节目的转变，在节目的不断变化中支撑他的是深厚的文化底蕴和对新事物的敏锐。 每次坐在演播室，他面对的是永远新鲜的被访者──新闻事件的参与者和不同领域的专家。在每个三十分钟里，他和被访者的思想交织在一起，诠释着《中国报道》的宗旨──以中国人的视点报道世界，向世界报道中国。 王世林，一个朴素无华的名子，一如他简捷朴实的主持风格。幼时生长在中国北方的农村，农民的诚实淳朴，浸濡着一个军人家庭的孩子。在他的每一次访谈中，没有犀利的眼神，没有咄咄逼人的提问，他更愿意展现他本来的生活状态。去年新春的第一期节目让观众难忘：《中国报道》节目通过卫星电话可视系统与在南极考察的中国专家取得联系，并把他们的家人请到演播室，在南极和北京之间架起了一条热线。节目弥漫令人感动的亲情。 他热爱世井中的纷繁与人情，留意于田野和村庄。“在茫茫雪中，你不能不开怀。”王世林说，“你无法想象我高兴的样子”。有人问王世林，你最喜欢的一个词是什么，他说，“神秘”。热爱生活的人更愿意去寻求对生活的别样体验。从金字塔的传说到复活岛的石人像，从星际生物到UFO，王世林几乎不放过一切神秘与未知的事件。《中国报道》中纪实与理性的主持人，夜深人静时凝视星空的“发烧友”，人们似乎很难把他们联系在一起。 如今他不仅作主持人，也是《中国报道》的制片人之一。在新的一年，他和他的同事开始新的开拓：节目上网，设立《中国报道》周末版、周六时事综述、周日记者观察。在《中国报道》的不断延伸中，人们又将看到王世林扎实、执着的步伐。
邹悦,,,中国,,,,,,北京,,记者 主持人,华中理工大学,,2004年末担任英文频道主打节目《今日中国》主播至今。,"电视外宣彩虹奖
对外宣传专家奖
金话筒奖",
李宗瑶,,,,,,,,,,,天津电视台新城市新空间主持人,,,"天津电视台第四
五届“十佳”播音员主持人",,
罗洁,,,中国,,,,,,,,二级播音员,贵州教育学院,,,,
扈忠汉,HuZhongHan,,中国,汉,,,188cm,71kg,安徽·蚌埠五河,,模特 演员 艺人,哈尔滨新丝路模特学校,,,"中国模特新面孔选拔大赛冠军
第十五届中国模特之星大赛冠军",
黄景行,Dino,小恐龙 superdino,中国,,,,168cm,55kg,浙江温州,1986年06月18日,,北京现代音乐学院 现代歌舞系,,"中国
小爸爸",,黄景行模仿迈克杰克逊计划国内开“舞馆” 亚洲街舞王子黄景行受邀出席了某主办方举行的街舞秀，尽管得了一场小感冒，黄景行是丝毫没有休息的意思。当天刚输完液后便进行了演出，圈内的好友和领导都劝他好好休息，但是为了能给粉丝带来一场精彩演，黄景行还是坚持了下来，准时出席了活动而且一点也没有影响到他的表演，敬业精神也得到了大家的好评！ 据透露，黄景行接下来还想开自己的第一家街舞学校，各项手续都在紧锣密鼓的安排之中。这也将提供给黄景行和国内的舞蹈爱好者一个很好的交流平台，让我们拭目以待吧！
史汶鹭,,,中国,,,,,,北京,,模特,哈尔滨新丝路模特学校,,,,
冯正,,,中国,,双鱼座,,,,,,,北京外国语学院,,,"1998年中国第1届街舞大赛总决赛排舞冠军个人SOLO冠军
2003年CCTV3全国青春劲舞大擂台总冠军
法国JUSTDEBOUT中国赛区POPPING冠军
全国青春劲舞大擂台全国冠军",
李嘉荣,LiKaWing,,中国,,,,,,香港,,电影剪辑师,,,,,
彭小莲,,,中国,汉族,,,,,湖南茶陵,1953年06月01日,演员 编剧,北京电影学院,,"我和我的同学们
上海纪事
假装没感觉
美丽上海",第24届中国电影金鸡奖最佳导演,彭小莲的作品展示出出她良好的专业技巧和艺术才华，她的作品大多以女性为主人公，她注重于女性在新时期个性的释放的表达，特别是能细腻入微地传达女性的内心情感变化，又能触及到与此相关的社会根源性问题。在思想上和艺术上都具有一定深度，受到专家和观众的肯定和欢迎（网易娱乐评）。
谢文珂,,,中国,汉族,,,,,,,歌手,,,,,
郑振瑶,,,中国,,,,,,安徽灵璧,1936年11月07日,话剧演员,,,"《城南旧事》
《文成公主》
《桃花扇》
《如意》","第3届中国电影金鸡奖最佳女配角
第24届中国电影金鸡奖最佳女主角",
苏小卫,,思芜 秋实,中国,汉族,,,,,北京,1960年01月01日,编剧,北京师范大学中文系研究生院,,"赢家
那山那人那狗
生活秀
暖","两次中国电影华表奖最佳编剧奖
两次中国长春电影节最佳编剧奖
两次中国电影金鸡奖最佳编剧奖
一次大众电影百花奖最佳编剧奖",读思芜的作品，能感受到她的坚守和追求、她的热情和善良、她对生活的梳理和思考。会看到惟美主义的色彩，嗅到生活中的芳香，体会到崇高和理想。她的作品讲述现当代各行各业小人物的故事，有曲曲弯弯的山间小路，灯红酒绿的城市生活；有正直善良、对美好人生抱有坚定信念的人们，以及他们变幻莫测的内心世界。她的作品多是启迪和鼓励无名小卒以乐观向上的态度面对生活中的困难和不幸，积极勇敢地追求快乐人生和美好生活
侯咏,,,中国,汉族,,,,,陕西省西安市,1960年09月26日,摄影师 导演 编剧 制作人,北京电影学院,,"茉莉花开
一个人的奥林匹克
闯关东中篇","第七届中国电影金鸡奖最佳摄影奖
第九届中国电影金鸡奖最佳摄影奖
第十七届中国电影金鸡奖最佳摄影奖
第二十届中国电影金鸡奖最佳摄影奖",《茉莉花开》在英国伦敦受到了欢迎，侯咏的电影给海外观众打开中国电影的新窗口，从侯咏的电影里他们看到了中国女性的另一面（新浪娱乐评）。 《九月》虽不完美，侯咏却已经具有了独特的风格——含蓄，如果把侯咏归入某个流派的话，侯咏自称自己接近印象派。他对光的处理及画面空间感的安排都与影片总体的悲剧风格结合起来，带有强烈个人审美意识的设计使候咏对摄影技巧的把握更趋成熟。他运用许多纪实手段来真实地表现这里充满生命情趣的一切，使《猎场札撒》达到了天然浑成的意境，在摄影上更是独树一帜。他在创作中强调感受，在表现富有新鲜感的生活时，感受会更敏锐一些，《猎场札撒》散发了他对草原的全部激情（网易娱乐网评）。
肖桂云,,,中国,汉族,,,,,黑龙江哈尔滨,1941年01月01日,导演,北京电影学院,,"佩剑将军
逃犯
开国大典
七七事变","第10届金鸡奖最佳导演奖
第10届金鸡奖最佳故事片奖
第13届电影百花奖最佳故事片奖",《包公赔情》、《桃李梅》、《希望》、《佩剑将军》、《甜女》、《黄河之滨》、《鬼仙沟》、《逃犯》《田野又是青纱帐》……一部部格调新、品位高的佳作在她的手中诞生。她和丈夫李前宽联合执导的革命历史巨片《开国大典》、《重庆谈判》、《七七事变》、《金戈铁马》、《决战之后》、《红盖头》、《旭日惊雷》、《金戈铁马》、《决战之后》、《红盖头》、《旭日惊雷》、《世纪之梦》、《抗美援朝》、《世纪之梦》等历史巨片。他们着重革命历史的重大题材，作品具有史诗性的风格，他们有着深深的历史责任感，同时又十分重视作品的艺术感召力。《开国大典》不仅获得了多项大奖，而且创下当年拷贝的最高纪录。肖桂云是唯一获得金鸡奖最佳导演奖的女性。
游晓颖,,,中国,,,,,,,,编剧,,,相爱相亲,"第37届香港电影金像奖最佳编剧奖
第9届中国电影导演协会年度编剧奖",
乔宏,RoyChiao,乔纪侃,中国,汉,双鱼座,,,,上海,1927年03月16日,演员,,,《女人四十》《天使之城》《侠女》《双星报喜》,"1996年香港电影金像奖最佳男主角
1996年香港电影金紫荆奖最佳男主角",
胡紫薇,,,中国,汉族,白羊座,O型,169cm,50kg,,,北京电视台主持人,北京电影学院，香港中文大学,,《如何成为一个妖孽》,06年获金鹰节优秀节目主持人奖1996年获年度首都女记者优秀新闻作品奖,
栗坤,,,中国,汉,金牛座,,170cm,52kg,辽宁大连,,主持人,中国传媒大学播音系03级,,"我是演说家
跨界歌王
幸福的味道
大戏看北京","华鼎奖中国最佳主持人
中国电视金鹰奖优秀主持人
中国播音主持金话筒奖
北京电视台最受欢迎主持人奖",个人写真 她拥有专业大气的主持风格，微笑尤其令人印象深刻。这些年来，她积极投身公益事业，一直在尽最大的力量服务社会。（凤凰网评） 她一出现就以亲和、朴实、阳光的气息成为新一代的“台柱”，她用自己的实际行动感动了大家，在主持的同时，她也在为大家奉献着一份感动。（网易评）
朱迅,,朱十七,中国,,处女座,,167cm,47kg,北京,1973年09月07日,主持人,日本亚细亚大学研究生院经营学部,,《说出来就过时》,,小时候的朱迅能言善辩，有着主持天分。（凤凰网评价） 朱迅具有敬业精神。（人民网评价） 朱迅性格活泼、魅力大方，深受观众喜爱 ，她也是正大综艺团队里有名的“朱大胆”——时常亲自披挂上阵，在节目中大玩各种特技，不得不让人佩服她的胆量。（凤凰网评价）
谭家明,,,中国,汉,,,,,香港,1948年01月01日,导演,香港华仁书院,,"《名剑》
《烈火青春》
《父子》","第26届香港电影金像奖最佳导演奖
第26届香港电影金像奖最佳编剧奖",电影作品照 谭家明是20世纪80年代香港电影新浪潮运动的重要人物，执导了《名剑》，《爱杀》等高度风格化的影片。从《名剑》、《最后的胜利》到《杀手蝴蝶梦》等等，他的作品多少都有些瑕疵；然而瑕不掩瑜，他在1989年拍摄的《杀手蝴蝶梦》中，钟镇涛逃避追杀的一段手提摄影机的“摇晃”镜头，几乎就是之后《重庆森林》中林青霞在重庆大厦中穿梭的雏形，而他为《阿飞正传》所做的剪辑令王家卫的电影从《旺角卡门》的青涩一下子有了巨大的飞跃。 谭家明行事低调，不爱张扬，摄影师出身的他在编剧、导演、剪辑、美术和音乐方面颇有造诣。同时他也是一位善于发掘明星气质的导演，在他早期的作品中，可以看到许多熟悉的明星，比如《杀手蝴蝶梦》中的王祖贤、梁朝伟，《雪儿》中的钟楚红等等。
凌文龙,LingManLung,,中国,,,,,,,,演员,,,黄金花,第37届香港电影金像奖最佳新演员奖,
凌波,,,加拿大,汉族,,,,,广东汕头,1940年01月01日,中国台湾电影演员,,,"安安寻母
梁山伯与祝英台",邵氏黄梅调电影兴盛至白热化的功臣之一,
启米翁姆,,,,藏族,,,,,,,,,,,,
葛布,,廉梦 洁小妹 小美,中国,汉,天蝎座,B,,,吉林省吉林市,1988年11月01日,演员,中国青年政治学院,,"万万没想到
报告老板
学姐知道
学姐知道2
大侠黄飞鸿",,葛布写真 葛布完美驾驭了甜美萝莉、冷艳御姐多重风格，展现了由“保洁小妹”到“百变魅力学姐”的惊艳蜕变过程。（评校网评） 葛布在《万万没想到》中是那个青涩甜美、穿着可爱女仆装的保洁小妹，然而在《学姐知道》中，葛布却颠覆以往，大胆尝试了多样造型，完美展现了自己作为演员无穷的可能性。葛布的主持功力实实在在地在提升，从最初怯生生的略显紧张，到后来变得落落大方，风格也日益凸显。小剧场中饰演的角色也越来越多样化，演技愈发精湛，戏路越来越宽。（大众网评） 相比于女神而言，学姐这个称呼更加贴近观众，与其自身的气质以及节目整体调性也完美相符。（网易评）能者多劳，葛布身兼数职却依然兢兢业业，像一位保洁小妹一样不辞辛苦的工作。（网易网评）
孙越,,孙胖子,中国,汉族,天秤座,,,,北京西城区,1979年10月13日,青年相声演员,,,《我忍不了》《欢乐喜剧人第二季》,"登上2015年中央电视台春节联欢晚会
东方卫视《欢乐喜剧人第二季》总冠军",
王雯琴,Anna,,中国,汉,,AB,180cm,56kg,上海,1982年01月19日,模特,,,,,国际模特新生代大赛总裁判长JeanLuc曾有过这样的评价，王雯琴是他从业25年来见过的最好的模特，她的脸融合了东西方的美，而且动态的王雯琴比静态的美
唐诗逸,,唐唐,中国,汉族,,,,,湖南永州,1990年09月06日,舞蹈演员,,,,,
王润泽,,,中国,,射手座,,,,安徽省淮南市,1993年11月28日,演员,安庆师范大学,,"犯罪心理小组X
贴身校花之君临天夏",,王润泽 因为长相与演员胡歌有些相似，而被称作为“寒门胡歌”。在《一年级毕业季》节目中，有些腼腆的虽然前期给观众的印象并不算太深，但后来却让观众真正认识了这个不善表达、干净、内敛、如水一般的少年。一直是没有自信的那种人，但是在篮球场上却找回了自信，有点疯狂，有点Man；他不仅篮球打得好，而且还很拼。而在网络剧《贴身校花之君临天夏》开机仪式上，身穿休闲装显得阳光而又帅气，寸头发型则让他显得干净清爽（网易、虞书欣、刘润南、搜狐评）。
周双健,ZhouShuangJian,,中国,,双鱼座,,192cm,70kg,哈尔滨,1973年03月18日,模特 中国银行外汇债券交易员,清华大学硕士,,AI特警队,2003年世界先生大赛,
岳梅,May,,中国,汉,,AB型,182cm,63kg,新疆,1979年10月22日,模特,,,,,
王超,,,中国,,,,,,南京,1964年01月21日,导演 编剧 制作人 作家,北京电影学院,,"安阳婴儿
江城夏日
幻想曲","第54届戛纳国际电影节“导演双周”单元
第26届法国南特三大洲电影节最佳导演南特城奖",王超 王超的鲜明风格颇受争议，他是一位游离在主流市场之外的导演，作品大都直接走国际影展路线（搜狐娱乐评）。他偏好对现实加以刻意选择，进行文学性的加工与提炼，通过象征与寓言式的叙事建构，将人物高度符号化。在《江城夏日》中，王超不偏执于布莱松式讲究导演绝对控制的简约主义风格，他把导演姿态放低，转而将演员推到台前，同时吸收了大量商业电影的视听效果，拍得风生水起。叙事也像飙车一般，长镜头几近不见，节奏比过去的作品快了很多，令观者很容易被带入到影片的情境当中，并被打动（张江南（北京影评人）评）。
李欣,,,中国,汉族,,,,,,,,,,,,
金东硕,김동석/KimDongSeok,金洞奭,韩国,朝鲜,白羊座,A型,183cm,65kg,济州特别自治道,1990年04月07日,演员 模特,成均馆大学中文系（在读）,,"仁医
剑与花
二十岁",,金东硕是个非常努力向上的人，以前很认生，自从感受到演技的魅力以后，性格也有了很大的改变。虽然还没有达到满足的程度，但是渐渐的感受到了进步。他会一直像现在一样，做个恭顺的，努力的演员。他在《明星家族的2天1夜》中，流利的中文问候、俊俏的外表和亲民的形象抓住了众多中国女性粉丝们的眼球。（tvreport、人民网评）
赵梦玥,Renee,柚茶 柚柚 uu妹 UU大魔王,中国,汉,,,,,上海,1993年12月18日,美空模特,,,,,
马艳冰,YanbingLenaMa,,加拿大,华人,,,179cm,,山东济南,1987年07月07日,学生,加拿大皇后大学,,,创下了华裔参加加拿大全国性选美比赛的最佳成绩。,
